514	9	3	VERB
514	9	4	VV
247	9	3	NOUN
247	9	4	NT
145	16	3	NOUN
145	16	4	NN
142	4	3	NOUN
142	4	4	NN
1403	1	3	CCONJ
1403	1	4	CC
350	14	3	VERB
350	14	4	VV
1238	15	3	VERB
1238	15	4	VV
1380	2	3	VERB
1380	2	4	VV
1046	6	3	VERB
1046	6	4	VV
556	6	3	VERB
556	6	4	VV
126	5	3	ADV
126	5	4	AD
1559	8	3	NOUN
1559	8	4	NN
18	15	3	VERB
18	15	4	VV
1131	7	3	VERB
1131	7	4	VV
29	7	3	VERB
29	7	4	VV
922	10	3	VERB
922	10	4	VV
100	12	3	VERB
100	12	4	VV
1238	13	3	VERB
1238	13	4	VV
1161	3	3	VERB
1161	3	4	VV
1423	4	3	VERB
1423	4	4	VV
441	4	3	VERB
441	4	4	VV
1427	5	3	VERB
1427	5	4	VV
1131	12	3	VERB
1131	12	4	VV
